state,location1,roster_link,CountyWebPage,ManualSearch,Webpagesherifforcounty,Search,Notes,facilityname,location,searchhowisrostersearched,notesanythinghelpfultosearcher,webpagewhererosterisfoundsherrif,location2
Alabama,baldwin,http://bcsonline.co.baldwin.al.us/smartweb/jail.aspx,,,,,,,,,,,
Alabama,barbour,None,http://www.barbourcountysheriff.com/page.php?id=9,,,,,,,,,,
Alabama,bibb,None,http://www.maconbibb.us/,,,,,,,,,,
Alabama,blount,None,https://www.blounttn.org/,,,,,,,,,,
Alabama,bullock,None,http://bullochcounty.net/,,,,,,,,,,
Alabama,calhoun,None,https://www.calhouncountymi.gov/government/sheriff/corrections_division/,,,,,,,,,,
Alabama,chambers,None,http://chamberscountyal.gov/,,,,,,,,,,
Alabama,chilton,http://jail.chiltoncountyso.org/dcn/inmates,,,,,,,,,,,
Alabama,covington,None,http://www.covcounty.com/,,,,,,,,,,
Alabama,cullman,None,http://www.co.cullman.al.us/,,,,,,,,,,
Alabama,dallas,None,https://www.dallascounty.org/,,,,,,,,,,
Alabama,dekalb,https://www.dekalbcountysheriff.org/roster.php,,,,,,,,,,,
Alabama,franklin,https://www.franklinsheriff.org/roster.php,,,,,,,,,,,
Alabama,geneva,None,http://www.genevacounty.us/,,,,,,,,,,
Alabama,henry,None,http://www.henrycty.com/,,,,,,,,,,
Alabama,lawrence,None,http://co.lawrence.pa.us/,,,,,,,,,,
Alabama,madison,http://www.madisoncountydetention.com/MadisonCoDC_inmatelist.html,,,,,,,,,,,
Alabama,marengo,None,http://marengocountyal.com/,,,,,,,,,,
Alabama,mobile,http://www.mobileso.com/whos-in-jail/,,,,,,,,,,,
Alabama,morgan,97.82.20.116/jailinmates.aspx,,,,,,,,,,,
Alabama,perry,None,http://www.perrycounty.in.gov/,,,,,,,,,,
Alabama,st clair,None,https://www.stclairco.com/,,,,,,,,,,
Alabama,tallapoosa,None,http://www.tallaco.com/,,,,,,,,,,
Alabama,tuscaloosa,None,,https://www.tcsoal.org/arrest-db/inmates,,,,,,,,,
Alabama,walker,None,,https://www.cashbondonline.com/find-inmate.html?no_cache=1,,,,,,,,,
Alabama,florence,None,http://www.florenceco.org/,,,,,,,,,,
